iter	Passed	Remaining
0	0	122
1	1	78
2	1	62
3	1	55
4	1	50
5	1	47
6	2	44
7	2	42
8	2	41
9	2	39
10	3	38
11	3	37
12	3	36
13	3	35
14	3	34
15	4	34
16	4	33
17	4	33
18	4	33
19	5	32
20	5	32
21	5	31
22	5	31
23	5	30
24	6	30
25	6	30
26	6	29
27	6	29
28	6	28
29	7	28
30	7	28
31	7	28
32	7	27
33	8	27
34	8	27
35	8	26
36	8	26
37	8	26
38	9	26
39	9	25
40	9	25
41	9	25
42	10	25
43	10	24
44	10	24
45	10	24
46	11	24
47	11	24
48	11	24
49	11	23
50	12	23
51	12	23
52	12	23
53	13	23
54	13	22
55	13	22
56	13	22
57	13	22
58	14	21
59	14	21
60	14	21
61	14	21
62	15	20
63	15	20
64	15	20
65	15	19
66	15	19
67	16	19
68	16	19
69	16	18
70	16	18
71	17	18
72	17	18
73	17	17
74	17	17
75	17	17
76	18	17
77	18	16
78	18	16
79	18	16
80	19	16
81	19	15
82	19	15
83	19	15
84	19	15
85	20	14
86	20	14
87	20	14
88	20	14
89	20	13
90	21	13
91	21	13
92	21	13
93	21	12
94	22	12
95	22	12
96	22	12
97	22	12
98	22	11
99	23	11
100	23	11
101	23	11
102	23	10
103	23	10
104	24	10
105	24	10
106	24	9
107	24	9
108	25	9
109	25	9
110	25	8
111	25	8
112	25	8
113	26	8
114	26	8
115	26	7
116	26	7
117	26	7
118	27	7
119	27	6
120	27	6
121	27	6
122	28	6
123	28	5
124	28	5
125	28	5
126	28	5
127	29	5
128	29	4
129	29	4
130	29	4
131	30	4
132	30	3
133	30	3
134	30	3
135	30	3
136	31	2
137	31	2
138	31	2
139	31	2
140	31	2
141	32	1
142	32	1
143	32	1
144	32	1
145	33	0
146	33	0
147	33	0
148	33	0
149	33	0
